Municípios,TIM,Vivo,Claro,Oi,Algar,Sercomtel,Nextel
AC,7,14,17,4,,,
AL,76,53,39,14,,,
AM,25,30,34,22,,,
AP,4,7,8,6,,,
BA,213,279,148,121,,,
CE,145,95,97,62,,,
DF,1,1,1,1,,,
ES,78,78,41,19,,,
GO,98,134,149,48,2,,
MA,117,70,143,46,,,
MG,531,552,311,103,16,,
MS,44,67,51,13,1,,
MT,50,79,68,25,,,
PA,88,103,89,54,,,
PB,156,45,42,12,,,
PE,149,108,98,61,,,
PI,64,110,85,33,,,
PR,399,225,216,58,,,
RJ,92,92,70,38,,,16
RN,112,32,41,13,,,
RO,18,26,38,9,,,
RR,6,6,10,3,,,
RS,265,403,225,80,,,
SC,295,170,169,54,,,
SE,38,65,23,11,,,
SP,645,645,554,106,8,,24
TO,16,30,97,19,,,
