uf,code_uf,code_city,city_name,population,code_ibge
RO,11,00015,Alta Floresta D'Oeste,22728,1100015
RO,11,00023,Ariquemes,109523,1100023
RO,11,00031,Cabixi,5188,1100031
RO,11,00049,Cacoal,85893,1100049
RO,11,00056,Cerejeiras,16204,1100056
RO,11,00064,Colorado do Oeste,15544,1100064
RO,11,00072,Corumbiara,7220,1100072
RO,11,00080,Costa Marques,18798,1100080
RO,11,00098,Espigão D'Oeste,32695,1100098
RO,11,00106,Guajará-Mirim,46556,1100106
RO,11,00114,Jaru,51620,1100114
RO,11,00122,Ji-Paraná,130009,1100122
RO,11,00130,Machadinho D'Oeste,40867,1100130
RO,11,00148,Nova Brasilândia D'Oeste,20489,1100148
RO,11,00155,Ouro Preto do Oeste,35737,1100155
RO,11,00189,Pimenta Bueno,36881,1100189
RO,11,00205,Porto Velho,539354,1100205
RO,11,00254,Presidente Médici,18571,1100254
RO,11,00262,Rio Crespo,3804,1100262
RO,11,00288,Rolim de Moura,55407,1100288
RO,11,00296,Santa Luzia D'Oeste,6216,1100296
RO,11,00304,Vilhena,102211,1100304
RO,11,00320,São Miguel do Guaporé,23077,1100320
RO,11,00338,Nova Mamoré,31392,1100338
RO,11,00346,Alvorada D'Oeste,14106,1100346
RO,11,00379,Alto Alegre dos Parecis,13255,1100379
RO,11,00403,Alto Paraíso,21847,1100403
RO,11,00452,Buritis,40356,1100452
RO,11,00502,Novo Horizonte do Oeste,8329,1100502
RO,11,00601,Cacaulândia,6269,1100601
RO,11,00700,Campo Novo de Rondônia,14266,1100700
RO,11,00809,Candeias do Jamari,27388,1100809
RO,11,00908,Castanheiras,2987,1100908
RO,11,00924,Chupinguaia,11472,1100924
RO,11,00940,Cujubim,26183,1100940
RO,11,01005,Governador Jorge Teixeira,7445,1101005
RO,11,01104,Itapuã do Oeste,10641,1101104
RO,11,01203,Ministro Andreazza,9559,1101203
RO,11,01302,Mirante da Serra,10818,1101302
RO,11,01401,Monte Negro,16007,1101401
RO,11,01435,Nova União,6895,1101435
RO,11,01450,Parecis,6198,1101450
RO,11,01468,Pimenteiras do Oeste,2148,1101468
