code_ibge,up,city,Vivo,TIM,Claro,Oi,Algar,Nextel,total
1200013,AC,Acrelândia,-,-,X,-,-,-,1
1200104,AC,Brasiléia,X,-,X,-,-,-,2
1200138,AC,Bujari,X,X,X,-,-,-,3
1200179,AC,Capixaba,X,-,-,-,-,-,1
1200203,AC,Cruzeiro do Sul,X,X,X,-,-,-,3
1200252,AC,Epitaciolândia,X,-,X,-,-,-,2
1200302,AC,Feijó,X,X,X,X,-,-,4
1200328,AC,Jordão,-,-,X,-,-,-,1
1200336,AC,Mâncio Lima,X,-,X,-,-,-,2
1200351,AC,Marechal Thaumaturgo,-,-,X,-,-,-,1
1200385,AC,Plácido de Castro,X,-,X,-,-,-,2
1200807,AC,Porto Acre,-,-,X,-,-,-,1
1200401,AC,Rio Branco,X,X,X,X,-,-,4
1200427,AC,Rodrigues Alves,X,-,X,-,-,-,2
1200435,AC,Santa Rosa do Purus,-,-,X,-,-,-,1
1200500,AC,Sena Madureira,X,X,X,X,-,-,4
1200450,AC,Senador Guiomard,X,X,X,-,-,-,3
1200609,AC,Tarauacá,X,X,X,X,-,-,4
1200708,AC,Xapuri,X,-,-,-,-,-,1
5300108,DF,Brasília,X,X,X,X,-,-,4
5200050,GO,Abadia de Goiás,X,X,X,-,-,-,3
5200100,GO,Abadiânia,X,X,X,-,-,-,3
5200134,GO,Acreúna,X,X,X,-,-,-,3
5200159,GO,Adelândia,-,-,X,X,-,-,2
5200175,GO,Água Fria de Goiás,X,-,-,-,-,-,1
5200209,GO,Água Limpa,-,-,X,-,-,-,1
5200258,GO,Águas Lindas de Goiás,X,X,X,X,-,-,4
5200308,GO,Alexânia,X,X,X,-,-,-,3
5200506,GO,Aloândia,-,-,X,-,-,-,1
5200555,GO,Alto Horizonte,-,X,-,-,-,-,1
5200605,GO,Alto Paraíso de Goiás,X,-,X,-,-,-,2
5200803,GO,Alvorada do Norte,X,X,-,-,-,-,2
5200829,GO,Amaralina,-,X,-,-,-,-,1
5200902,GO,Amorinópolis,-,X,-,-,-,-,1
5201108,GO,Anápolis,X,X,X,X,-,-,4
5201207,GO,Anhanguera,-,-,X,-,-,-,1
5201306,GO,Anicuns,X,X,X,-,-,-,3
5201405,GO,Aparecida de Goiânia,X,X,X,X,-,-,4
5201454,GO,Aparecida do Rio Doce,-,-,-,X,-,-,1
5201603,GO,Araçu,-,-,X,-,-,-,1
5201702,GO,Aragarças,X,-,X,-,-,-,2
5201801,GO,Aragoiânia,X,-,X,-,-,-,2
5202353,GO,Arenópolis,-,-,-,X,-,-,1
5202502,GO,Aruanã,-,-,X,-,-,-,1
5202601,GO,Aurilândia,-,-,X,-,-,-,1
5202809,GO,Avelinópolis,-,X,-,-,-,-,1
5203104,GO,Baliza,X,-,-,-,-,-,1
5203203,GO,Barro Alto,X,X,X,-,-,-,3
5203302,GO,Bela Vista de Goiás,X,X,X,-,-,-,3
5203401,GO,Bom Jardim de Goiás,X,-,X,-,-,-,2
5203500,GO,Bom Jesus de Goiás,-,X,-,-,-,-,1
5203559,GO,Bonfinópolis,-,-,X,-,-,-,1
5203575,GO,Bonópolis,-,X,-,-,-,-,1
5203609,GO,Brazabrantes,-,-,X,-,-,-,1
5203906,GO,Buriti Alegre,X,X,X,-,-,-,3
5203939,GO,Buriti de Goiás,-,X,X,-,-,-,2
5203962,GO,Buritinópolis,-,-,X,-,-,-,1
5204003,GO,Cabeceiras,X,-,-,-,-,-,1
5204102,GO,Cachoeira Alta,X,X,-,-,-,-,2
5204250,GO,Cachoeira Dourada,-,X,X,-,-,-,2
5204300,GO,Caçu,X,-,-,-,-,-,1
5204409,GO,Caiapônia,X,-,X,-,-,-,2
5204508,GO,Caldas Novas,X,X,X,X,-,-,4
5204557,GO,Caldazinha,-,-,X,-,-,-,1
5204607,GO,Campestre de Goiás,-,X,X,-,-,-,2
