code_ibge,up,city,Vivo,TIM,Claro,Oi,Algar,Nextel,total
2700102,AL,Água Branca,-,X,X,-,-,-,2
2700201,AL,Anadia,-,X,-,-,-,-,1
2700300,AL,Arapiraca,X,X,X,X,-,-,4
2700409,AL,Atalaia,-,X,X,-,-,-,2
2700508,AL,Barra de Santo Antônio,-,X,X,-,-,-,2
2700607,AL,Barra de São Miguel,X,X,X,-,-,-,3
2700706,AL,Batalha,X,X,-,-,-,-,2
2700805,AL,Belém,-,-,X,-,-,-,1
2700904,AL,Belo Monte,X,-,-,-,-,-,1
2701001,AL,Boca da Mata,-,X,-,-,-,-,1
2701100,AL,Branquinha,X,X,-,-,-,-,2
2701209,AL,Cacimbinhas,-,X,-,-,-,-,1
2701308,AL,Cajueiro,-,X,-,-,-,-,1
2701407,AL,Campo Alegre,X,X,X,X,-,-,4
2701506,AL,Campo Grande,-,X,-,-,-,-,1
2701605,AL,Canapi,X,-,-,-,-,-,1
2701704,AL,Capela,-,X,-,-,-,-,1
2701902,AL,Chã Preta,-,-,X,-,-,-,1
2702009,AL,Coité do Nóia,X,X,-,-,-,-,2
2702108,AL,Colônia Leopoldina,-,X,-,-,-,-,1
2702207,AL,Coqueiro Seco,-,X,-,-,-,-,1
2702306,AL,Coruripe,X,X,X,X,-,-,4
2702355,AL,Craíbas,X,X,-,-,-,-,2
2702405,AL,Delmiro Gouveia,X,X,X,X,-,-,4
2702504,AL,Dois Riachos,X,-,-,-,-,-,1
2702553,AL,Estrela de Alagoas,X,X,-,-,-,-,2
2702603,AL,Feira Grande,X,X,-,-,-,-,2
2702702,AL,Feliz Deserto,-,X,-,-,-,-,1
2702801,AL,Flexeiras,-,X,X,-,-,-,2
2702900,AL,Girau do Ponciano,X,X,X,X,-,-,4
2703106,AL,Igaci,X,X,X,-,-,-,3
2703205,AL,Igreja Nova,-,X,-,-,-,-,1
2703304,AL,Inhapi,X,-,-,-,-,-,1
2703403,AL,Jacaré dos Homens,X,X,-,-,-,-,2
2703601,AL,Japaratinga,X,X,X,-,-,-,3
2703700,AL,Jaramataia,-,X,-,-,-,-,1
2703759,AL,Jequiá da Praia,-,X,-,-,-,-,1
2703809,AL,Joaquim Gomes,-,X,-,-,-,-,1
2704005,AL,Junqueiro,X,X,-,-,-,-,2
2704104,AL,Lagoa da Canoa,-,X,X,-,-,-,2
2704203,AL,Limoeiro de Anadia,X,X,-,-,-,-,2
2704302,AL,Maceió,X,X,X,X,-,-,4
2704401,AL,Major Isidoro,X,X,X,-,-,-,3
2704906,AL,Mar Vermelho,-,-,X,-,-,-,1
2704500,AL,Maragogi,X,X,X,-,-,-,3
2704609,AL,Maravilha,X,-,-,-,-,-,1
2704708,AL,Marechal Deodoro,X,X,X,-,-,-,3
2704807,AL,Maribondo,X,X,-,-,-,-,2
2705002,AL,Mata Grande,X,X,-,-,-,-,2
2705101,AL,Matriz de Camaragibe,-,X,X,-,-,-,2
2705200,AL,Messias,X,X,-,-,-,-,2
2705408,AL,Monteirópolis,-,X,-,-,-,-,1
2705507,AL,Murici,-,X,-,-,-,-,1
2705606,AL,Novo Lino,X,X,-,-,-,-,2
2705705,AL,Olho d'Água das Flores,X,X,X,-,-,-,3
2706000,AL,Olivença,X,X,-,-,-,-,2
2706109,AL,Ouro Branco,X,-,-,-,-,-,1
2706208,AL,Palestina,X,-,-,-,-,-,1
2706307,AL,Palmeira dos Índios,X,X,X,X,-,-,4
2706406,AL,Pão de Açúcar,-,X,X,-,-,-,2
2706422,AL,Pariconha,X,-,-,-,-,-,1
2706448,AL,Paripueira,-,X,-,-,-,-,1
2706505,AL,Passo de Camaragibe,X,X,-,-,-,-,2
2706703,AL,Penedo,X,X,X,X,-,-,4
2706802,AL,Piaçabuçu,-,X,-,-,-,-,1
2706901,AL,Pilar,X,X,X,-,-,-,3
2707008,AL,Pindoba,-,-,X,-,-,-,1
2707107,AL,Piranhas,X,X,-,-,-,-,2
2707206,AL,Poço das Trincheiras,X,-,-,-,-,-,1
2707305,AL,Porto Calvo,-,X,X,-,-,-,2
2707404,AL,Porto de Pedras,-,X,-,-,-,-,1
2707503,AL,Porto Real do Colégio,X,X,X,-,-,-,3
2707602,AL,Quebrangulo,-,X,-,-,-,-,1
2707701,AL,Rio Largo,X,X,X,-,-,-,3
2707800,AL,Roteiro,-,X,-,-,-,-,1
2707909,AL,Santa Luzia do Norte,-,X,-,-,-,-,1
2708006,AL,Santana do Ipanema,X,X,X,X,-,-,4
2708105,AL,Santana do Mundaú,X,-,-,-,-,-,1
2708303,AL,São José da Laje,-,X,-,-,-,-,1
2708402,AL,São José da Tapera,X,X,X,X,-,-,4
2708501,AL,São Luís do Quitunde,-,X,X,X,-,-,3
2708600,AL,São Miguel dos Campos,X,X,X,X,-,-,4
2708709,AL,São Miguel dos Milagres,X,X,X,-,-,-,3
2708808,AL,São Sebastião,-,X,X,X,-,-,3
2708907,AL,Satuba,-,X,-,-,-,-,1
2708956,AL,Senador Rui Palmeira,X,-,-,-,-,-,1
2709004,AL,Tanque d'Arca,-,-,X,-,-,-,1
2709103,AL,Taquarana,X,X,-,-,-,-,2
2709152,AL,Teotônio Vilela,-,X,X,-,-,-,2
2709202,AL,Traipu,X,X,-,-,-,-,2
2709301,AL,União dos Palmares,X,X,X,X,-,-,4
2709400,AL,Viçosa,X,X,-,-,-,-,2
1300029,AM,Alvarães,-,-,X,-,-,-,1
1300060,AM,Amaturá,-,X,X,-,-,-,2
1300086,AM,Anamã,X,-,-,-,-,-,1
1300102,AM,Anori,X,-,-,-,-,-,1
1300201,AM,Atalaia do Norte,-,-,X,-,-,-,1
1300300,AM,Autazes,X,X,-,X,-,-,3
1300508,AM,Barreirinha,X,-,X,-,-,-,2
1300607,AM,Benjamin Constant,-,X,X,X,-,-,3
1300631,AM,Beruri,X,-,-,-,-,-,1
1300680,AM,Boa Vista do Ramos,X,-,-,-,-,-,1
1300706,AM,Boca do Acre,-,X,X,X,-,-,3
